pass_type,distance,pressure,outcome,player_positions,start,end
short,18.0,0.0,success,"{'home': {'GK': (5.0, 40.0), 'LCB': (15.0, 35.0), 'RCB': (15.0, 45.0), 'LB': (15.0, 20.0), 'RB': (15.0, 60.0), 'LCM': (30.0, 25.0), 'RCM': (30.0, 55.0), 'CDM': (25.0, 40.0), 'LW': (40.0, 20.0), 'ST': (40.0, 40.0), 'RW': (40.0, 60.0)}, 'away': {'GK': (75.0, 40.0), 'LCB': (65.0, 45.0), 'RCB': (65.0, 35.0), 'LB': (65.0, 60.0), 'RB': (65.0, 20.0), 'LCM': (50.0, 55.0), 'RCM': (50.0, 25.0), 'CDM': (55.0, 40.0), 'LW': (40.0, 60.0), 'ST': (40.0, 40.0), 'RW': (40.0, 20.0)}}","(40.0, 40.0)","(30.0, 55.0)"
short,16.7,0.0,success,"{'home': {'GK': (7.8, 40.5), 'LCB': (18.0, 35.8), 'RCB': (21.1, 45.0), 'LB': (21.1, 22.3), 'RB': (18.4, 57.8), 'LCM': (31.4, 22.8), 'RCM': (34.3, 55.0), 'CDM': (28.1, 39.5), 'LW': (48.1, 20.7), 'ST': (46.5, 41.7), 'RW': (46.1, 61.7)}, 'away': {'GK': (77.1, 41.6), 'LCB': (66.8, 47.1), 'RCB': (67.9, 37.0), 'LB': (68.2, 59.6), 'RB': (68.0, 23.1), 'LCM': (53.1, 56.5), 'RCM': (50.6, 26.9), 'CDM': (56.5, 43.1), 'LW': (41.0, 60.4), 'ST': (42.6, 41.0), 'RW': (40.3, 23.9)}}","(34.3, 55.0)","(28.1, 39.5)"
short,18.8,0.0,success,"{'home': {'GK': (7.2, 40.4), 'LCB': (17.9, 35.9), 'RCB': (21.3, 46.1), 'LB': (23.4, 20.6), 'RB': (18.9, 57.9), 'LCM': (32.8, 21.3), 'RCM': (35.5, 55.6), 'CDM': (28.3, 38.7), 'LW': (49.3, 22.3), 'ST': (49.9, 42.0), 'RW': (46.3, 62.9)}, 'away': {'GK': (78.4, 40.3), 'LCB': (67.4, 47.0), 'RCB': (68.7, 35.6), 'LB': (69.9, 58.7), 'RB': (68.1, 24.3), 'LCM': (52.5, 55.2), 'RCM': (50.3, 27.4), 'CDM': (57.6, 41.3), 'LW': (41.6, 58.2), 'ST': (45.1, 41.0), 'RW': (41.0, 24.9)}}","(28.3, 38.7)","(23.4, 20.6)"
short,19.1,0.0,success,"{'home': {'GK': (9.5, 40.4), 'LCB': (18.5, 36.4), 'RCB': (21.2, 45.7), 'LB': (23.7, 21.3), 'RB': (21.9, 58.7), 'LCM': (34.5, 22.6), 'RCM': (35.0, 54.6), 'CDM': (29.8, 39.3), 'LW': (49.5, 21.0), 'ST': (51.1, 43.1), 'RW': (48.2, 63.0)}, 'away': {'GK': (77.2, 38.4), 'LCB': (67.3, 46.4), 'RCB': (69.1, 35.5), 'LB': (70.6, 56.0), 'RB': (70.0, 22.8), 'LCM': (53.0, 53.2), 'RCM': (51.0, 26.6), 'CDM': (59.4, 41.0), 'LW': (42.3, 57.4), 'ST': (46.1, 41.0), 'RW': (40.3, 23.6)}}","(23.7, 21.3)","(29.8, 39.3)"
short,14.1,0.0,success,"{'home': {'GK': (10.5, 40.8), 'LCB': (18.1, 38.0), 'RCB': (23.6, 44.9), 'LB': (25.8, 22.4), 'RB': (25.1, 58.5), 'LCM': (35.0, 24.4), 'RCM': (36.0, 55.1), 'CDM': (32.2, 39.1), 'LW': (53.1, 20.2), 'ST': (50.5, 41.6), 'RW': (48.1, 63.5)}, 'away': {'GK': (78.4, 39.4), 'LCB': (67.1, 45.5), 'RCB': (69.7, 34.5), 'LB': (71.1, 55.0), 'RB': (71.1, 24.0), 'LCM': (52.9, 53.0), 'RCM': (53.3, 28.1), 'CDM': (59.6, 41.3), 'LW': (42.6, 56.8), 'ST': (44.9, 40.5), 'RW': (42.2, 23.0)}}","(32.2, 39.1)","(18.1, 38.0)"
short,11.6,0.0,failed,"{'home': {'GK': (10.5, 40.6), 'LCB': (22.7, 36.8), 'RCB': (25.0, 45.5), 'LB': (28.1, 21.9), 'RB': (25.1, 58.6), 'LCM': (36.4, 23.6), 'RCM': (36.8, 54.5), 'CDM': (34.3, 37.4), 'LW': (55.5, 21.3), 'ST': (54.9, 42.3), 'RW': (50.2, 61.5)}, 'away': {'GK': (79.2, 39.8), 'LCB': (68.9, 46.0), 'RCB': (68.8, 33.9), 'LB': (71.5, 53.9), 'RB': (69.7, 23.9), 'LCM': (53.4, 52.7), 'RCM': (54.7, 27.3), 'CDM': (59.1, 41.1), 'LW': (44.8, 56.7), 'ST': (45.2, 39.7), 'RW': (42.9, 22.4)}}","(22.7, 36.8)","(34.3, 37.4)"
short,14.3,0.0,success,"{'home': {'GK': (10.5, 42.0), 'LCB': (24.2, 37.8), 'RCB': (25.3, 43.9), 'LB': (27.1, 23.1), 'RB': (24.5, 59.0), 'LCM': (33.2, 22.8), 'RCM': (34.6, 55.7), 'CDM': (32.0, 37.9), 'LW': (56.2, 23.9), 'ST': (53.0, 41.4), 'RW': (48.3, 61.7)}, 'away': {'GK': (77.4, 40.6), 'LCB': (66.7, 45.4), 'RCB': (64.7, 32.6), 'LB': (70.9, 53.9), 'RB': (69.6, 24.7), 'LCM': (49.1, 53.5), 'RCM': (53.6, 25.3), 'CDM': (57.2, 42.0), 'LW': (40.9, 56.4), 'ST': (41.6, 41.1), 'RW': (40.4, 23.7)}}","(24.2, 37.8)","(10.5, 42.0)"
,nan,0.0,success,"{'home': {'GK': (9.2, 42.5), 'LCB': (22.2, 37.8), 'RCB': (24.2, 43.3), 'LB': (25.3, 23.6), 'RB': (23.4, 57.9), 'LCM': (33.1, 24.7), 'RCM': (37.5, 54.2), 'CDM': (30.8, 36.7), 'LW': (54.6, 23.4), 'ST': (50.2, 41.5), 'RW': (47.8, 60.3)}, 'away': {'GK': (76.4, 38.4), 'LCB': (65.6, 45.8), 'RCB': (63.8, 35.6), 'LB': (65.9, 55.1), 'RB': (65.7, 23.0), 'LCM': (50.5, 51.8), 'RCM': (52.0, 26.3), 'CDM': (58.9, 39.7), 'LW': (40.1, 56.8), 'ST': (39.7, 42.9), 'RW': (41.4, 23.1)}}","(39.7, 42.9)","(76.4, 38.4)"
medium,26.8,0.0,failed,"{'home': {'GK': (10.5, 39.5), 'LCB': (22.1, 38.3), 'RCB': (24.3, 43.5), 'LB': (24.3, 24.3), 'RB': (24.6, 58.8), 'LCM': (32.5, 23.9), 'RCM': (37.3, 55.2), 'CDM': (31.1, 37.9), 'LW': (53.3, 22.7), 'ST': (48.9, 39.3), 'RW': (46.8, 60.0)}, 'away': {'GK': (74.7, 39.8), 'LCB': (65.3, 46.6), 'RCB': (64.4, 33.8), 'LB': (65.9, 56.3), 'RB': (66.6, 22.8), 'LCM': (50.1, 50.8), 'RCM': (48.2, 28.8), 'CDM': (56.1, 38.1), 'LW': (38.2, 58.2), 'ST': (37.8, 42.3), 'RW': (40.3, 23.1)}}","(48.9, 39.3)","(22.1, 38.3)"
medium,36.4,0.3,success,"{'home': {'GK': (8.8, 38.7), 'LCB': (19.6, 37.4), 'RCB': (21.3, 44.0), 'LB': (22.0, 23.2), 'RB': (22.5, 58.8), 'LCM': (31.5, 25.6), 'RCM': (37.3, 55.3), 'CDM': (28.6, 39.3), 'LW': (51.2, 23.7), 'ST': (45.0, 39.9), 'RW': (45.1, 59.1)}, 'away': {'GK': (73.9, 39.6), 'LCB': (64.7, 46.9), 'RCB': (61.3, 33.3), 'LB': (61.5, 55.0), 'RB': (65.8, 23.9), 'LCM': (47.8, 52.4), 'RCM': (45.6, 28.4), 'CDM': (53.1, 40.0), 'LW': (35.8, 58.8), 'ST': (37.5, 41.2), 'RW': (40.5, 21.9)}}","(73.9, 39.6)","(37.5, 41.2)"
